STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
43900,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE43900.00,2167,-226,-9.444212285833682,2941,25.36,1312.2,402.6,44.26121372031663,26575,13650,25,1315.05,100,1320.25,42559.55
44000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE44000.00,235285,79980,51.498663919384434,1921715,30.81,6.2,-4.6000000000000005,-42.5925925925926,3580625,318550,16975,6.15,3725,6.2,42559.55
44000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE44000.00,2308,-724,-23.87862796833773,9880,0.0,1418.3,411.3,40.84409136047666,158950,19425,50,1411.95,50,1416.15,42559.55
44100,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE44100.00,59102,17722,42.82745287578541,633889,32.43,5.95,-3.05,-33.888888888888886,371650,45475,5000,5.9,6650,6.0,42559.55
44100,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE44100.00,1449,-8,-0.5490734385724091,686,0.0,1512.4,406.9500000000001,36.81306255371116,27250,11100,125,1511.4,25,1517.4,42559.55
44200,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE44200.00,83566,10415,14.237672759087369,607709,34.12,5.75,-2.35,-29.01234567901234,393525,61050,4975,5.75,550,5.8,42559.55
44200,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE44200.00,1573,-78,-4.724409448818897,587,46.79,1592.5,387.8499999999999,32.19607354833353,89050,11275,100,1603.05,50,1622.8,42559.55
44300,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE44300.00,50497,5083,11.192583784735984,532541,35.67,5.45,-1.75,-24.305555555555557,247650,40450,4625,5.45,800,5.5,42559.55
44300,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE44300.00,305,-29,-8.682634730538922,111,0.0,1682.85,380.05,29.171783850168865,24850,10425,25,1711.7,150,1720.2,42559.55
44400,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE44400.00,46138,22533,95.4585892819318,412939,37.3,5.35,-1.2000000000000002,-18.320610687022903,230100,38775,8400,5.35,7025,5.45,42559.55
44400,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE44400.00,380,-13,-3.307888040712468,35,0.0,1782.0,375.3499999999999,26.6839654498276,86500,10925,25,1801.5,1925,1848.3,42559.55
44500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE44500.00,215134,111378,107.34608119048536,1391335,38.85,5.15,-0.9499999999999992,-15.573770491803268,2948700,90325,1075,5.15,8400,5.2,42559.55
44500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE44500.00,730,-137,-15.80161476355248,746,40.75,1920.0,413.7000000000001,27.464648476399127,330625,10800,25,1911.85,175,1917.85,42559.55
44600,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE44600.00,27016,636,2.4109173616376043,325518,40.31,4.95,-0.75,-13.157894736842104,219075,27100,2525,4.9,3650,5.0,42559.55
44600,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE44600.00,33,3,10.0,13,0.0,1914.7,491.6500000000001,34.54903200871369,21225,9850,25,2012.6,275,2054.7,42559.55
44700,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE44700.00,24700,1159,4.923325262308313,266670,41.8,4.75,-0.6500000000000004,-12.037037037037043,101400,32600,1275,4.75,1950,4.8,42559.55
44700,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE44700.00,20,-1,-4.761904761904762,10,0.0,1901.65,269.0,16.476280893026672,21600,11175,25,2111.4,125,2119.9,42559.55
44800,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE44800.00,41125,18458,81.43115542418494,342309,43.33,4.6,-0.4000000000000003,-8.000000000000007,116100,32325,2575,4.6,1350,4.65,42559.55
44800,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE44800.00,8,2,33.333333333333336,12,0.0,1866.55,313.79999999999995,20.209306069876025,22300,8650,300,2198.15,300,2258.9,42559.55
44900,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE44900.00,26875,15534,136.97204832025395,184880,44.76,4.4,-0.5,-10.20408163265306,52900,19075,1350,4.4,750,4.45,42559.55
44900,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE44900.00,3,1,50.0,6,0.0,2076.25,-41.34999999999991,-1.9526822818284808,29600,6275,25,2292.0,25,2356.45,42559.55
45000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE45000.00,204177,48021,30.751940367324984,1153070,46.32,4.3,-0.5499999999999998,-11.340206185567007,713775,72300,6125,4.3,7525,4.35,42559.55
45000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE45000.00,425,-37,-8.008658008658008,159,0.0,2405.6,402.8499999999999,20.114842092123325,401000,12225,50,2393.55,50,2428.6,42559.55
45100,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE45100.00,10821,2722,33.60908754167181,100519,47.71,4.25,-0.3499999999999996,-7.608695652173907,57775,16350,875,4.2,400,4.25,42559.55
